Unnamed: 0,GOID,topic,gamma,Date
537,283164859,1,0.756264630346177,1991-04-03
15771,283166949,4,0.983204717548299,1991-07-24
41240,283174639,9,0.747615639990173,1992-05-20
41237,283176089,9,0.978256577705579,1992-05-18
15717,283178249,4,0.697695885522803,1991-05-12
41086,283183820,9,0.86060615674238,1991-10-02
15860,283192151,4,0.244083188748826,1992-01-01
41219,283196898,9,0.320698115066876,1992-05-11
10974,283223485,3,0.553730496757395,1992-07-27
41276,283224658,9,0.554762467023042,1992-06-12
31169,283228057,7,0.609456588786299,1992-06-13
46307,283232749,10,0.565938668193715,1992-05-27
46332,283233701,10,0.346723860393846,1992-06-13
26084,283243578,6,0.372648167390217,1992-05-23
41245,283249431,9,0.572879928059632,1992-05-22
30880,283258577,7,0.533515877384498,1991-05-12
41342,283258735,9,0.502157119813512,1992-09-29
41165,283259407,9,0.779411708403712,1992-02-21
41230,283259450,9,0.821047058917339,1992-05-15
41189,283259554,9,0.655909531425274,1992-03-26
41308,283265945,9,0.471325849194698,1992-08-09
41323,283273411,9,0.605320725589229,1992-09-15
10794,283274556,3,0.493979665879474,1991-12-04
41152,283278029,9,0.570260088625551,1992-02-10
41333,283292545,9,0.58429499924796,1992-09-20
41302,283293705,9,0.623471881469549,1992-08-07
26131,283300485,6,0.44010314973545,1992-07-11
11043,283303667,3,0.826323857998253,1992-10-25
5835,283305831,2,0.354676175668904,1992-04-29
41274,283308708,9,0.767699569863842,1992-06-11
41344,283310234,9,0.37591107096857,1992-10-01
5938,283312091,2,0.297622657047944,1992-09-10
41269,283314726,9,0.790460298517399,1992-06-02
41329,283317253,9,0.477518986566481,1992-09-16
16116,283324698,4,0.613005119040927,1992-12-06
41375,283333370,9,0.507242632976324,1992-10-31
21162,283340142,5,0.581422300597795,1992-11-16
21174,283357070,5,0.878856070958675,1992-12-16
41257,283372981,9,0.709093328042091,1992-05-30
16157,283377285,4,0.937825447170754,1993-01-27
20895,283378674,5,0.49216410006748,1991-11-19
41345,283380864,9,0.859318427798742,1992-10-01
41410,283386023,9,0.501452899732133,1993-01-03
11044,283395191,3,0.558106301347385,1992-10-25
41398,283400819,9,0.464781543978397,1992-12-21
16163,283401463,4,0.663329984904974,1993-02-06
41430,283403684,9,0.379140196052672,1993-01-29
46198,283404630,10,0.467244631477418,1992-01-21
46477,283407469,10,0.245432070483636,1993-01-21
21268,283412296,5,0.443350479401867,1993-03-11
41357,283420306,9,0.780993346835402,1992-10-15
21192,283420392,5,0.446257132024211,1993-01-02
1049,283430023,1,0.351325852292929,1993-03-07
16282,283433789,4,0.827690210876012,1993-04-17
41469,283435665,9,0.502757839032675,1993-02-28
21232,283437663,5,0.571803277946462,1993-02-17
1042,283438534,1,0.757441286227951,1993-03-04
36287,283452144,8,0.404873608122047,1992-09-29
46511,283452309,10,0.729839676430314,1993-02-22
21270,283461398,5,0.806951996536189,1993-03-14
41550,283461584,9,0.582624991814147,1993-04-16
41498,283462763,9,0.744661449281732,1993-03-21
16310,283467929,4,0.428809222463961,1993-05-23
41535,283475229,9,0.618244299933391,1993-04-02
6123,283480815,2,0.6429140905502,1993-03-23
26415,283482971,6,0.708943719927454,1993-05-17
41479,283483387,9,0.786979723684177,1993-03-06
26416,283484361,6,0.479473141306352,1993-05-17
46620,283499718,10,0.515542285325524,1993-04-30
11264,283499975,3,0.361646525128708,1993-06-27
31410,283500554,7,0.384634369122843,1993-03-28
41519,283501758,9,0.74785853448198,1993-03-28
41460,283514434,9,0.785943313650455,1993-02-23
41459,283516762,9,0.502591023935419,1993-02-23
16369,283524234,4,0.565783076343927,1993-10-12
16303,283527966,4,0.707442942420624,1993-05-12
16354,283538639,4,0.81486168832042,1993-09-07
46670,283539341,10,0.288959345883214,1993-08-15
31402,283552266,7,0.56661554302139,1993-03-26
41610,283559803,9,0.444480321659671,1993-08-02
16327,283573469,4,0.624582108073446,1993-07-17
46679,283582352,10,0.5827131809933,1993-09-22
41593,283582481,9,0.866977863075073,1993-07-02
41609,283599045,9,0.289703877339334,1993-08-01
16353,283602382,4,0.724502466099668,1993-09-06
16362,283605440,4,0.614248554750089,1993-10-04
46726,283614419,10,0.488457724987417,1993-12-11
41656,283625755,9,0.778216999815766,1993-11-12
41689,283627473,9,0.293078322782419,1993-12-26
41667,283637345,9,0.645991712310024,1993-12-06
11368,283643070,3,0.358999273947865,1993-12-29
21494,283651152,5,0.323400601556761,1994-02-16
46756,283668126,10,0.936668054495236,1994-02-06
36619,283668352,8,0.546095679438555,1993-12-12
21495,283674292,5,0.826906030944692,1994-02-16
11376,283678516,3,0.488969492244059,1994-01-30
36740,283686833,8,0.484130760677178,1994-07-06
31684,283692841,7,0.305321652451432,1994-07-04
21498,283694601,5,0.280665955651453,1994-03-03
21493,283701207,5,0.403833780297903,1994-02-15
36642,283709282,8,0.624987551785954,1994-01-03
26663,283711598,6,0.48286235464377,1994-09-02
21489,283717668,5,0.512002591672831,1994-02-06
16547,283721858,4,0.759994382053674,1994-08-23
