GOID,Topic
421402176,5
430983518,7
398683782,7
418649416,0
418637631,2
408381441,6
421413935,0
421266386,1
421332431,3
408388997,8
421483767,5
421304469,6
421485136,8
109846173,3
421440540,3
431028802,7
431031062,3
421318254,5
421316404,2
431024573,0
408381042,0
418634959,0
418652014,6
418651346,3
421446287,1
421291521,3
421306622,5
408399361,8
421302045,1
421296115,1
421441846,3
408386952,4
431046611,7
398829912,6
421282447,5
421284191,6
2100384103,6
2100384262,6
398618644,1
421317690,3
418718602,2
421305990,5
408390110,0
421347827,3
431063805,3
421316122,0
421453991,6
398638271,4
421478396,4
431068734,4
421316722,6
421314883,0
398742677,2
421347873,6
421472896,0
421469471,1
398630508,4
421341218,3
408408346,0
408406749,0
421317476,5
421334965,1
398831784,4
431065560,7
408395969,8
421447253,3
408408959,5
431092472,0
421445782,3
398712835,4
398705458,6
421361373,5
421450625,5
408422578,0
421363336,0
421479015,7
421493784,2
421345839,7
421322708,5
421476940,1
408413923,6
421493823,0
421466210,8
418739893,0
408407525,3
398646939,3
431121667,3
421334688,5
421356327,1
431106217,0
398651867,4
421497189,5
421387214,5
418788770,0
431111700,6
421490964,3
421348584,3
398674045,1
398716480,1
421338685,5
421373087,0
421518365,5
398662136,8
421366470,2
421339748,7
421453337,3
421546494,3
431123101,3
421384038,3
