"","GOID","topic","gamma"
"481","398206985",1,0.00177494025813032
"482","281105056",1,0.010937388542078
"483","427786332",1,0.00597256896445991
"484","283002978",1,0.00369293695799546
"485","427843976",1,0.00341597324944446
"486","283026732",1,0.00584334878978819
"487","282819911",1,0.00522893273447409
"488","307360363",1,0.00997998021863765
"489","307351941",1,0.00268955549475317
"490","281104668",1,0.00834651420294731
"491","281211053",1,0.0010856841470226
"492","398175406",1,0.0318037335320074
"493","307327007",1,0.0164831782747422
"494","282973277",1,0.593459095694015
"495","281254848",1,0.0671889111726184
"496","281205745",1,0.00536358420405658
"497","281195494",1,0.761225248899882
"498","281201785",1,0.148569955495883
"499","307308762",1,0.00978401565427491
"500","281207207",1,0.0069346795028821
"501","307330008",1,0.00153719654714758
"502","427919537",1,0.00355533655012177
"503","307316475",1,0.00204269633650817
"504","281238321",1,0.0132097091044338
"505","281288291",1,0.00719476844995444
"506","281290881",1,0.00674914169376042
"507","307296456",1,0.00132118726396818
"508","281267505",1,0.00630290223665861
"509","281268478",1,0.000493945756677564
"510","281316225",1,0.00418297695323908
"511","307361385",1,0.00268157778040941
"512","283065125",1,0.0630435819432171
"513","427925645",1,0.00348308733122429
"514","427981542",1,0.00155229827401432
"515","427980986",1,0.00308631275879357
"516","307368592",1,0.00664385330957825
"517","281354326",1,0.0170098462858841
"518","283039641",1,0.0392768129159367
"519","281326027",1,0.876847921923974
"520","398300677",1,0.0490982375987679
"521","398205691",1,0.91574742497999
"522","281242291",1,0.00477528931430447
"523","281390990",1,0.87012952594951
"524","283103063",1,0.0040993260989767
"525","283049012",1,0.0252298780339176
"526","428027161",1,0.00396433404660032
"527","281364410",1,0.683400751707566
"528","307398041",1,0.00678888932406889
"529","281352200",1,0.0131592498612527
"530","428003796",1,0.0171199744731289
"531","307382044",1,0.00957028240368267
"532","282955653",1,0.0171942885872452
"533","281213214",1,0.0090638919439814
"534","307378284",1,0.00127236160528717
"535","428029510",1,0.914962744058955
"536","281408539",1,0.687839524543692
"537","283164859",1,0.756264630346177
"538","307369946",1,0.00171960010641786
"539","398207025",1,0.00160968020471536
"540","281307555",1,0.327693751429271
"541","283142239",1,0.00642133429986489
"542","307382838",1,0.00552016199956193
"543","281253407",1,0.136359708580741
"544","281328746",1,0.00338789376309725
"545","283116893",1,0.00306469415054829
"546","283086835",1,0.00360510524549623
"547","307365535",1,0.00275674844051864
"548","307361866",1,0.0035606834396116
"549","398301645",1,0.00297204935546686
"550","428073625",1,0.0527375721884176
"551","281474797",1,0.215291773524761
"552","398227485",1,0.0086441703402299
"553","281448162",1,0.00132421038068663
"554","281345870",1,0.000738697959942831
"555","283178249",1,0.00166259555224325
"556","283258577",1,0.00887862400718312
"557","282913440",1,0.00167426392272926
"558","281435046",1,0.00372917409782731
"559","428069503",1,0.000854330327396464
"560","281348305",1,0.00230590265623718
"561","283000983",1,0.00494688371717634
"562","283144796",1,0.0148602300566691
"563","281262355",1,0.753057446621523
"564","282886383",1,0.00169932054055182
"565","281424438",1,0.00363131921272759
"566","398204926",1,0.00951585597511211
"567","281416910",1,0.79365870327502
"568","281420575",1,0.744772771973235
"569","281387009",1,0.426489073329413
"570","281388522",1,0.0039834394396452
"571","398315673",1,0.582926098003943
"572","281428824",1,0.0190051777643553
"573","281509938",1,0.0117552380456811
"574","281412235",1,0.939295066083989
"575","428113056",1,0.903521831941989
"576","281406231",1,0.716485278026533
"577","283093211",1,0.00345697767494524
"578","281491325",1,0.76918298861085
"579","398208937",1,0.721945040110454
"580","281468180",1,0.00480442066239267
"581","281448077",1,0.516131107260246
"582","281302466",1,0.00138687078952077
"583","281367882",1,0.423965173040619
"584","281301382",1,0.0205178295663808
"585","283105540",1,0.00394493535768213
"586","428125533",1,0.00505846264861126
"587","307390379",1,0.00421658208976402
"588","428121373",1,0.00367665406635528
