filename,date,topics,keywords
CREC-2016-04-18-pt1-PgD387.pdf,"April 18, 2016",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2015-01-26-pt1-PgD57.pdf,"January 26, 2015",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1998-07-31-pt1-PgD879.pdf,"July 31, 1998",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2008-04-02-pt1-PgD359.pdf,"April 2, 2008",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1995-07-13-pt1-PgD850.pdf,"July 13, 1995",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2000-03-27-pt1-PgD266.pdf,"March 27, 2000",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1995-07-20-pt1-PgD889.pdf,"July 20, 1995",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2005-07-19-pt1-PgD778.pdf,"July 19, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2016-04-20-pt1-PgD410-2.pdf,"April 20, 2016",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2015-03-25-pt1-PgD335.pdf,"March 25, 2015",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2005-09-27-pt1-PgD970.pdf,"September 27, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2017-10-19-pt1-PgD1101.pdf,"October 19, 2017",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
